"sample_id","topology","[Eubacterium]_coprostanoligenes_group","Anaerovoracaceae","Anaplasmataceae","Arcobacteraceae","Beijerinckiaceae","Brevibacteriaceae","Caulobacteraceae","Christensenellaceae","Clostridiaceae","Corynebacteriaceae","d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__","Deinococcaceae","Dermabacteraceae","Devosiaceae","Dietziaceae","Eggerthellaceae","F082","Gemmataceae","Hungateiclostridiaceae","Ilumatobacteraceae","IMCC26256","Intrasporangiaceae","JG30-KF-CM45","KD4-96","Lachnospiraceae","Methyloligellaceae","Microbacteriaceae","Micrococcaceae","Micromonosporaceae","Mycobacteriaceae","Nakamurellaceae","Nocardiaceae","Nocardioidaceae","Oscillospiraceae","Peptostreptococcaceae","Peptostreptococcales-Tissierellales","Pseudonocardiaceae","Rhizobiaceae","Rhodobacteraceae","Ruminococcaceae","Saccharimonadaceae","Sphingomonadaceae","Streptomycetaceae","UCG-010","uncultured","Xanthobacteraceae"
"1","Environment",0.00611620795107034,0,0,0,0.0229357798165138,0,0.0122324159021407,0.00917431192660551,0.0305810397553517,0.642201834862385,0,0.0382262996941896,0,0.0229357798165138,0,0,0,0,0,0,0,0,0,0,0.0198776758409786,0,0,0.0397553516819572,0,0.00764525993883792,0,0,0,0.0107033639143731,0,0,0,0,0.0259938837920489,0.0122324159021407,0,0.0871559633027523,0,0,0.00458715596330275,0
"10-1","Forehead",0.00161030595813205,0.00151915656427551,0.0421717862242883,0.00133685777656245,0.00820344544708778,0.00264333242183939,0.00817306231580227,0.00288639747212348,0.0510132774283718,0.497645307325373,0.00151915656427551,0.0960714611247835,0.0020660529274147,0.00467900221796858,0.013338194634339,0.00127609151399143,0.00127609151399143,0.000212681918998572,0.00322061191626409,0.000607662625710206,0,0.0129735970589129,0.00437517090511348,0,0.0146750524109015,0,0.0194452040227266,0.053292012274785,0.00303831312855103,0.00282563120955246,0.000516513231853675,0.00492206726825267,0.0114848236259229,0.0050132166621092,0.00331176131012062,0.00598547686324553,0.00303831312855103,0.0114240573633519,0.0215112569501413,0.00282563120955246,0.0123051681706317,0.036854738249324,0.000455746969282654,0.000516513231853675,0.00191413727098715,0.00224835171512776
"10-2","Muzzle",0.0017200754005655,0.0030631479736098,0,0,0.00235626767200754,0.00405278039585297,0.00556079170593779,0.00678605089538172,0.0447690857681433,0.608788878416588,0.00157869934024505,0.0194863336475024,0.00353440150801131,0.00442978322337418,0.0199104618284637,0.00334590009425071,9.42507068803016e-05,0,0.00537229029217719,0,0,0.019698397737983,0.00815268614514609,0,0.0196512723845429,0,0.00888312912346843,0.0237983034872762,0.00207351555136664,0.000353440150801131,0,0.00164938737040528,0.0125824693685203,0.00409990574929312,0.00266258246936852,0.0173892554194156,0.0317389255419416,0.00591423185673893,0.0232563619227144,0.00240339302544769,0.0236098020735156,0.013124410933082,0.0235862393967955,0,0.000329877474081056,0.000212064090480679
"10-3","Neck",0.000384319754035357,0,0.00278631821675634,0,0.0243722777350756,0,0.0102165001281066,0.000320266461696131,0.0227068921342557,0.132878554957725,0,0.471272098385857,0,0.00358698437099667,0.00246605175506021,0,0,0.00131309249295414,0.000544452984883423,0.00240199846272098,0.000416346400204971,0.00400333077120164,0.00211375864719447,0.000960799385088393,0.00275429157058673,0.00227389187804253,0.025909556751217,0.0435562387906738,0.00534844991032539,0.0150525236997182,0.00582884960286959,0.020112733794517,0.0144440174224955,0.000736612861901102,0.00211375864719447,0.000960799385088393,0.0153087368690751,0.0237957981040225,0.00220983858570331,0,0.00131309249295414,0.0925570074301819,0.00301050473994363,0,0.000608506277222649,0.00883935434281322
"10-4","Pectoral area",0.00083073727933541,0.00186915887850467,0.00207684319833853,0.00083073727933541,0.0199376947040498,0,0.0105919003115265,0.00581516095534787,0.081619937694704,0.446728971962617,0.00353063343717549,0.0951194184839045,0,0,0.00685358255451713,0.00166147455867082,0.00145379023883697,0.00207684319833853,0.00415368639667705,0.00353063343717549,0,0.00581516095534787,0.00083073727933541,0,0.0278296988577362,0,0.032398753894081,0.0425752855659398,0,0.00415368639667705,0.00186915887850467,0.0122533748701973,0.0103842159916926,0.00934579439252336,0.00602284527518172,0.00228452751817238,0.00186915887850467,0.0259605399792316,0.0145379023883697,0.0043613707165109,0.00498442367601246,0.07601246105919,0.00103842159916926,0.00103842159916926,0,0
"10-5","Dorsum",0,0,0,0,0.00108252566769845,0,0.0002875458804824,0,0.00152230172020094,0.00630909490705502,0,0.930836758512204,0.00196207777270344,0,0.000186059099135671,0,0,0,0,0,0,0,0.00010148678134673,0,0,0,0.00152230172020094,0.0430642242181289,0.000202973562693459,0.000693493005869319,0,0.000169144635577883,0.00038903266182913,3.38289271155765e-05,8.45723177889413e-05,0,8.45723177889413e-05,0.000794979787216048,0.000896466568562778,0,0,0.00718864701206001,0.00038903266182913,0,3.38289271155765e-05,0
"10-6","Ventral abdomen",0.00596860607199925,0.00676755334147946,0.00216185731741705,0.000187987592818874,0.046244947833443,0.00145690384434627,0.0302660024438387,0.00874142306607764,0.0683804868878654,0.0636338001691888,0.00202086662280289,0.00545164019174734,0,0.0154149826111477,0.00371275495817276,0.00404173324560579,0.00314879217971614,0.00390074255099163,0.0030547983833067,0.0153209888147382,0.00578061847918037,0.00963436413196729,0.00596860607199925,0.00535764639533791,0.0645267412350785,0.00328978287433029,0.0448350408873014,0.0113732493655419,0.0131591314973212,0.0268352288748943,0.014193063257825,0.0242973963718395,0.0515555973305762,0.0166369019644703,0.00606259986840869,0.00108092865870853,0.00549863708995206,0.063774790863803,0.00446470532944826,0.0149450136291005,0.0017858821317793,0.135962026506251,0.00822445718582574,0,0.0119842090422032,0.04591596954601
"10-7","Udder",0.00231481481481481,0.00173611111111111,0.00173611111111111,0,0.0211226851851852,0,0.00925925925925926,0.0130208333333333,0.0703125,0.454861111111111,0,0.0384837962962963,0,0.00896990740740741,0.0138888888888889,0,0,0.00144675925925926,0.00954861111111111,0,0,0.0147569444444444,0.00289351851851852,0,0.0497685185185185,0,0.0341435185185185,0.00578703703703704,0,0.00144675925925926,0,0.00896990740740741,0.025462962962963,0.0118634259259259,0.00462962962962963,0.0124421296296296,0.0078125,0.0202546296296296,0.0147569444444444,0.0112847222222222,0.00462962962962963,0.0798611111111111,0,0.00173611111111111,0.00144675925925926,0.00462962962962963
"10-8","Left front pastern",0.00153755007617221,0.00489476950854821,0.00166450375218642,0.000719404164080573,0.00297635840433335,0.00125543079614061,0.0103255656491565,0.00722225356880889,0.0494696157535406,0.573435648592225,0.00620662416069514,0.000493708740055295,0.00104384133611691,0.00880212153698584,0.0199881509902387,0.00282119280031597,0.000141059640015799,0.000155165604017379,0.0126107318174124,0.000409072956045816,0.000112847712012639,0.0147971562376573,0.00631947187270778,0,0.0167719911978785,0.000225695424025278,0.0146137787056367,0.0190007335101281,0.000451390848050556,0.000536026632060035,0,0.000648874344072674,0.0187609321221012,0.00242622580827174,0.00373808046041866,0.0471421316932799,0.000169271568018958,0.010678214749196,0.0379309372002483,0.0025954973762907,0.0434322631608644,0.0224143767985104,0,5.64238560063195e-05,0.00104384133611691,0.000775828020086893
"11-1","Forehead",0,0,0,0,0,0,0,0,0.0513611615245009,0.588203266787659,0,0.225771324863884,0,0,0.0132486388384755,0,0,0,0.000907441016333938,0,0,0,0,0,0,0,0.00744101633393829,0.0533575317604356,0,0,0,0,0.0128856624319419,0,0.00381125226860254,0.00217785843920145,0,0,0.0215970961887477,0,0.00617059891107078,0.011070780399274,0,0,0,0
