"family","obs_diff","p_perm","p_adj_perm"
"Deinococcaceae",-0.367225169409325,0,0
"Christensenellaceae",0.0089796222403195,0,0
"Micrococcaceae",-0.0213066477313767,0,0
"uncultured",0.00348975709815338,0,0
"Lachnospiraceae",0.0289659825213537,0,0
"Anaerovoracaceae",0.00552078936421466,0,0
"KD4-96",0.00248961882096664,0,0
"Eggerthellaceae",0.00244389931267903,0,0
"Peptostreptococcales-Tissierellales",0.0107139043306419,0,0
"Hungateiclostridiaceae",0.00473878643286601,0,0
"Oscillospiraceae",0.018211737800119,0,0
"[Eubacterium]_coprostanoligenes_group",0.00403904274753422,0,0
"Rhodobacteraceae",0.00878135806362025,0,0
"Saccharimonadaceae",0.010737875609223,0,0
"Ruminococcaceae",0.0043937812371277,0,0
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__",0.00128525609277638,0,0
"UCG-010",0.00304398745558583,0,0
"Nocardioidaceae",0.00896789010304617,0,0
"Devosiaceae",0.00458681187227496,0,0
"Intrasporangiaceae",0.0128186320822093,0,0
"Arcobacteraceae",0.00227995883419051,0,0
"Caulobacteraceae",0.00340522159320116,0,0
"Methyloligellaceae",0.00151420513778211,0.003003003003003,0.00339469904687296
"IMCC26256",0.00158235946144269,0.004004004004004,0.00433767100433767
"Corynebacteriaceae",0.114073910144866,0.005005005005005,0.00520520520520521
"Clostridiaceae",0.0179406484050198,0.124124124124124,0.124124124124124
