"pathway","mean_GCtS","mean_EtS","log2FC","W","p","p_adj","sig","direction"
"PWY0-1479",1525.70154324127,5748.50126508775,1.91371309853493,270,2.54843304292654e-12,1.37615384318033e-09,"***","EtS_higher"
"PWY-7374",743.154443092221,6965.36510057656,3.22846500659097,389,3.73277178006038e-09,1.0078483806163e-06,"***","EtS_higher"
"PWY-5104",338.268032051506,46.6421356435615,-2.85846108887751,1893,1.13680123092763e-08,2.04624221566974e-06,"***","GCtS_higher"
"PWY-5677",386.722231515348,72.9296391554326,-2.40672054206595,1877,2.49056402168435e-08,3.36226142927387e-06,"***","GCtS_higher"
"PWY-7456",2091.89234804086,350.326984825201,-2.57803458543241,1863,5.1883898288807e-08,5.41144163479501e-06,"***","GCtS_higher"
"PWY-7480",545.037484810998,180.843934927162,-1.5916102400063,1860,6.01271292755001e-08,5.41144163479501e-06,"***","GCtS_higher"
"CARNMET-PWY",319.253888339612,75.4314113846335,-2.08146686594797,1842,1.38587247233701e-07,9.35463918827484e-06,"***","GCtS_higher"
"P163-PWY",1754.65088148463,517.65681385111,-1.76111613989765,1843,1.34119862290614e-07,9.35463918827484e-06,"***","GCtS_higher"
"PWY-6749",379.940475153515,67.2315950692692,-2.49856212781346,1824,3.10343709175598e-07,1.86206225505359e-05,"***","GCtS_higher"
"FUC-RHAMCAT-PWY",782.378071290308,235.808607975424,-1.73024955106677,1817.5,4.15258980757116e-07,2.03854408735312e-05,"***","GCtS_higher"
"FUCCAT-PWY",935.142212906294,255.565595883657,-1.87149214685882,1818.5,3.96844497041471e-07,2.03854408735312e-05,"***","GCtS_higher"
"PWY-5837",2451.01609893513,835.548431101527,-1.55258460113086,1786,1.60430166201262e-06,7.21935747905681e-05,"***","GCtS_higher"
"PWY-7883",1112.96517911079,273.914814937793,-2.02260925359794,1772,2.81343658214972e-06,0.000116865827258527,"***","GCtS_higher"
"DARABCATK12-PWY",402.237151498713,114.241258865169,-1.81596255610366,1768,3.31303276590589e-06,0.000127788406684941,"***","GCtS_higher"
"PWY-6527",9127.29718139093,3632.8287634257,-1.32909434108304,1754,5.72001496567074e-06,0.000205920538764147,"***","GCtS_higher"
