"family","chi2","df_kw","p","p_adj","sig"
"Anaplasmataceae",17.162,2,0.000187667835598859,0.00863272043754749,"**"
"[Eubacterium]_coprostanoligenes_group",1.661,2,0.435802493805371,0.959608104790234,"ns"
"Anaerovoracaceae",3.773,2,0.15161190542104,0.959608104790234,"ns"
"Arcobacteraceae",2.286,2,0.318835583709631,0.959608104790234,"ns"
"Beijerinckiaceae",0.855,2,0.652023319171356,0.959608104790234,"ns"
"Brevibacteriaceae",1.45,2,0.48441976022646,0.959608104790234,"ns"
"Caulobacteraceae",0.62,2,0.733628328837788,0.959608104790234,"ns"
"Christensenellaceae",1.674,2,0.433103694883482,0.959608104790234,"ns"
"Clostridiaceae",1.017,2,0.601274201405859,0.959608104790234,"ns"
"Corynebacteriaceae",1.582,2,0.453461913933835,0.959608104790234,"ns"
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__",1.151,2,0.562375005411211,0.959608104790234,"ns"
"Dermabacteraceae",1.317,2,0.517576305463693,0.959608104790234,"ns"
"Devosiaceae",0.32,2,0.851993277171249,0.959608104790234,"ns"
"Dietziaceae",0.405,2,0.816792617425224,0.959608104790234,"ns"
"Eggerthellaceae",1.213,2,0.545170108419493,0.959608104790234,"ns"
"F082",0.488,2,0.78336670330159,0.959608104790234,"ns"
"Gemmataceae",0.907,2,0.635409321556848,0.959608104790234,"ns"
"Hungateiclostridiaceae",0.5,2,0.778742261230601,0.959608104790234,"ns"
"Ilumatobacteraceae",1.454,2,0.483270171302472,0.959608104790234,"ns"
"IMCC26256",2.332,2,0.311535553694243,0.959608104790234,"ns"
"JG30-KF-CM45",2.678,2,0.262106361878776,0.959608104790234,"ns"
"KD4-96",1.801,2,0.406275230721342,0.959608104790234,"ns"
"Lachnospiraceae",2.248,2,0.324993501599023,0.959608104790234,"ns"
"Methyloligellaceae",0.565,2,0.753874646996359,0.959608104790234,"ns"
"Microbacteriaceae",0.705,2,0.702786885493841,0.959608104790234,"ns"
"Micrococcaceae",2.263,2,0.322577256436543,0.959608104790234,"ns"
"Micromonosporaceae",2.01,2,0.366066315925478,0.959608104790234,"ns"
"Mycobacteriaceae",1.588,2,0.452015638336261,0.959608104790234,"ns"
"Nakamurellaceae",0.755,2,0.685669478982286,0.959608104790234,"ns"
"Nocardiaceae",1.674,2,0.432946585300774,0.959608104790234,"ns"
"Nocardioidaceae",1.698,2,0.427785676798273,0.959608104790234,"ns"
"Oscillospiraceae",1.502,2,0.471817412668553,0.959608104790234,"ns"
"Peptostreptococcales-Tissierellales",2.833,2,0.242546310490442,0.959608104790234,"ns"
"Pseudonocardiaceae",0.439,2,0.802959815173686,0.959608104790234,"ns"
"Ruminococcaceae",1.256,2,0.533757830679125,0.959608104790234,"ns"
"Saccharimonadaceae",0.652,2,0.721783669793884,0.959608104790234,"ns"
"Sphingomonadaceae",0.376,2,0.828634944878769,0.959608104790234,"ns"
"Streptomycetaceae",1.991,2,0.369537583900698,0.959608104790234,"ns"
"UCG-010",0.596,2,0.742395375457503,0.959608104790234,"ns"
"uncultured",0.313,2,0.855302876008687,0.959608104790234,"ns"
"Xanthobacteraceae",2.837,2,0.242116903662631,0.959608104790234,"ns"
"Intrasporangiaceae",0.153,2,0.926394199581238,0.959640057750102,"ns"
"Peptostreptococcaceae",0.126,2,0.938778317364231,0.959640057750102,"ns"
"Rhizobiaceae",0.148,2,0.928865308781286,0.959640057750102,"ns"
"Rhodobacteraceae",0.219,2,0.896228534828646,0.959640057750102,"ns"
"Deinococcaceae",0.078,2,0.961895535569259,0.961895535569259,"ns"
