"family","chi2","df_kw","p","p_adj","sig"
"Deinococcaceae",71.75,3,1.80102055519432e-15,8.28469455389389e-14,"***"
"Intrasporangiaceae",47.357,3,2.91804429665445e-10,6.71150188230523e-09,"***"
"Eggerthellaceae",39.847,3,1.14834102473324e-08,1.76078957125763e-07,"***"
"Christensenellaceae",38.57,3,2.14046167695167e-08,2.46153092849442e-07,"***"
"Dermabacteraceae",36.956,3,4.70130459882392e-08,4.325200230918e-07,"***"
"Lachnospiraceae",35.26,3,1.07371760484642e-07,8.23183497048919e-07,"***"
"Dietziaceae",34.357,3,1.66576920363429e-07,1.09464833381682e-06,"***"
"Brevibacteriaceae",33.435,3,2.60755244335739e-07,1.28214458522002e-06,"***"
"Hungateiclostridiaceae",33.676,3,2.31942234625189e-07,1.28214458522002e-06,"***"
"UCG-010",33.298,3,2.78727083743482e-07,1.28214458522002e-06,"***"
"Oscillospiraceae",31.973,3,5.30230302246281e-07,2.21732671848445e-06,"***"
"uncultured",30.247,3,1.22461992191263e-06,4.69437636733174e-06,"***"
"Peptostreptococcales-Tissierellales",29.511,3,1.74896353047395e-06,6.18864018475397e-06,"***"
"Micrococcaceae",29.2,3,2.03318882844629e-06,6.68047757918067e-06,"***"
"Saccharimonadaceae",27.763,3,4.07335195504892e-06,1.249161266215e-05,"***"
"[Eubacterium]_coprostanoligenes_group",27.193,3,5.36331433046053e-06,1.5419528700074e-05,"***"
"Anaerovoracaceae",25.57,3,1.17337244836494e-05,3.17500780145806e-05,"***"
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__",22.528,3,5.06360713945018e-05,0.000129403293563727,"***"
"Ruminococcaceae",22.046,3,6.38112291574919e-05,0.000154490344276033,"***"
"KD4-96",21.377,3,8.79064465696552e-05,0.000202184827110207,"***"
"Nocardioidaceae",19.728,3,0.000193239429379156,0.000423286369116246,"***"
"Devosiaceae",19.499,3,0.000215579026427792,0.000450756146167201,"***"
"Clostridiaceae",16.959,3,0.000720436192198973,0.00144087238439795,"**"
"Rhodobacteraceae",15.917,3,0.00117901382486328,0.00225977649765462,"**"
"Pseudonocardiaceae",13.391,3,0.00386233338864081,0.00710669343509909,"**"
"JG30-KF-CM45",13.289,3,0.00405231079593218,0.00716947294664925,"**"
"Corynebacteriaceae",12.673,3,0.00539974923913683,0.00919957277778868,"**"
"Beijerinckiaceae",12.183,3,0.00678329816534517,0.0111439898430671,"*"
"Arcobacteraceae",11.965,3,0.00750390356721989,0.0119027435893833,"*"
"Rhizobiaceae",11.147,3,0.010956510041143,0.0167999820630859,"*"
"Xanthobacteraceae",10.776,3,0.0130014100679183,0.0192924149394916,"*"
"F082",9.915,3,0.0192983034707853,0.0261094694016507,"*"
"Microbacteriaceae",9.963,3,0.0188864917039217,0.0261094694016507,"*"
"Sphingomonadaceae",9.989,3,0.0186562177409929,0.0261094694016507,"*"
"Caulobacteraceae",9.71,3,0.0211971746070292,0.0278591437692384,"*"
"Peptostreptococcaceae",7.751,3,0.0514541216560747,0.0657469332272066,"."
"Nocardiaceae",7.533,3,0.0567040832466822,0.07049696836074,"."
"Streptomycetaceae",7.19,3,0.0660852589512374,0.0799979450462348,"."
"Methyloligellaceae",6.887,3,0.0755804309922194,0.0891461493754383,"."
"Micromonosporaceae",5.737,3,0.125139145272776,0.143910017063692,"ns"
"IMCC26256",5.409,3,0.144183350684921,0.161766686134301,"ns"
"Mycobacteriaceae",4.823,3,0.185227343477996,0.202868042856853,"ns"
"Ilumatobacteraceae",4.369,3,0.224288324655602,0.239936347305993,"ns"
"Gemmataceae",3.408,3,0.332875827463139,0.348006546893281,"ns"
"Nakamurellaceae",2.661,3,0.44684117923702,0.456770983220065,"ns"
"Anaplasmataceae",1.182,3,0.757325447669277,0.757325447669277,"ns"
