"family","chi2","df_kw","p","p_adj","sig"
"Deinococcaceae",85.658,8,3.52776439779669e-15,1.62277162298648e-13,"***"
"Intrasporangiaceae",62.3,8,1.64607049463682e-10,3.7859621376647e-09,"***"
"Dietziaceae",57.767,8,1.27573097860754e-09,1.9561208338649e-08,"***"
"Eggerthellaceae",54.098,8,6.60881720781806e-09,6.08011183119262e-08,"***"
"Lachnospiraceae",54.33,8,5.95768564431757e-09,6.08011183119262e-08,"***"
"Brevibacteriaceae",53.551,8,8.43505670960593e-09,6.46687681069788e-08,"***"
"Saccharimonadaceae",52.636,8,1.26820243251388e-08,8.33390169937691e-08,"***"
"Hungateiclostridiaceae",51.617,8,1.99536851760487e-08,1.1473368976228e-07,"***"
"Corynebacteriaceae",50.097,8,3.91469255296604e-08,1.83118776794027e-07,"***"
"Dermabacteraceae",50.059,8,3.9808429737832e-08,1.83118776794027e-07,"***"
"Christensenellaceae",49.8,8,4.4645613836331e-08,1.86699839679202e-07,"***"
"Nocardioidaceae",48.659,8,7.39001781725597e-08,2.83284016328146e-07,"***"
"Clostridiaceae",47.779,8,1.08892253045171e-07,3.74542177042444e-07,"***"
"Pseudonocardiaceae",47.675,8,1.13991097360744e-07,3.74542177042444e-07,"***"
"Oscillospiraceae",47.358,8,1.31013496073265e-07,4.01774721291347e-07,"***"
"uncultured",46.127,8,2.24845689150087e-07,6.46431356306502e-07,"***"
"Peptostreptococcales-Tissierellales",45.7,8,2.71092300017581e-07,7.33543870635809e-07,"***"
"Ruminococcaceae",45.542,8,2.90482527816769e-07,7.42344237753966e-07,"***"
"Sphingomonadaceae",44.79,8,4.03356426977804e-07,9.76547138998895e-07,"***"
"Beijerinckiaceae",44.308,8,4.97612593013204e-07,1.14450896393037e-06,"***"
"UCG-010",43.849,8,6.07536226014682e-07,1.33079363793692e-06,"***"
"Micromonosporaceae",42.657,8,1.01907041591509e-06,2.13078359691336e-06,"***"
"Caulobacteraceae",42.5,8,1.0907156644436e-06,2.18143132888719e-06,"***"
"Xanthobacteraceae",42.217,8,1.23324692607093e-06,2.36372327496929e-06,"***"
"Anaerovoracaceae",41.798,8,1.47792713459653e-06,2.71938592765761e-06,"***"
"[Eubacterium]_coprostanoligenes_group",41.516,8,1.66920332125039e-06,2.84382788064882e-06,"***"
"Peptostreptococcaceae",41.531,8,1.6581726267189e-06,2.84382788064882e-06,"***"
"Microbacteriaceae",40.278,8,2.84341853244728e-06,4.51025008595086e-06,"***"
"Rhizobiaceae",40.337,8,2.77255058350132e-06,4.51025008595086e-06,"***"
"Micrococcaceae",39.443,8,4.06740157669763e-06,6.03549911380939e-06,"***"
"Nocardiaceae",39.464,8,4.03061316911639e-06,6.03549911380939e-06,"***"
"Streptomycetaceae",39.141,8,4.62850663010447e-06,6.65347828077518e-06,"***"
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__",38.405,8,6.33479276493525e-06,8.83031718748551e-06,"***"
"Rhodobacteraceae",37.653,8,8.72655639773099e-06,1.18065174792831e-05,"***"
"KD4-96",37.553,8,9.10185854259044e-06,1.1962442655976e-05,"***"
"JG30-KF-CM45",34.004,8,4.05604256979725e-05,5.1827210614076e-05,"***"
"Arcobacteraceae",33.77,8,4.47081223253744e-05,5.55830709991141e-05,"***"
"Devosiaceae",32.374,8,7.98183594932766e-05,9.66222246497559e-05,"***"
"Mycobacteriaceae",32.289,8,8.26795825200852e-05,9.75195075877929e-05,"***"
"Nakamurellaceae",31.252,8,0.000126707916446125,0.000145714103913044,"***"
"Methyloligellaceae",31.155,8,0.000131836171608181,0.000147913753511617,"***"
"Gemmataceae",26.592,8,0.000831397771045129,0.000910578511144665,"***"
"Ilumatobacteraceae",26.363,8,0.000910277700982414,0.000973785447562582,"***"
"F082",25.274,8,0.00139663723699756,0.00146012074777018,"**"
"IMCC26256",24.819,8,0.00166790764540795,0.00170497225975035,"**"
"Anaplasmataceae",11.106,8,0.195740500216219,0.195740500216219,"ns"
