"group1","group2","p_adj","family","sig"
"GCtS_B","GCtS_A",0.10268402406167,"Deinococcaceae","ns"
"EtS","GCtS_A",3.72808450777029e-11,"Deinococcaceae","***"
"EtS","GCtS_B",6.45110631580792e-11,"Deinococcaceae","***"
"D_environment","GCtS_A",0.132835943357693,"Deinococcaceae","ns"
"D_environment","GCtS_B",0.445634713206944,"Deinococcaceae","ns"
"D_environment","EtS",0.132835943357693,"Deinococcaceae","ns"
"GCtS_B","GCtS_A",2.35641572306857e-06,"Intrasporangiaceae","***"
"EtS","GCtS_A",1.8988538849483e-10,"Intrasporangiaceae","***"
"EtS","GCtS_B",0.623840343398911,"Intrasporangiaceae","ns"
"D_environment","GCtS_A",0.19764424996634,"Intrasporangiaceae","ns"
"D_environment","GCtS_B",0.19764424996634,"Intrasporangiaceae","ns"
"D_environment","EtS",0.19764424996634,"Intrasporangiaceae","ns"
"GCtS_B","GCtS_A",3.52538525811852e-05,"Eggerthellaceae","***"
"EtS","GCtS_A",0.0640629444424981,"Eggerthellaceae","ns"
"EtS","GCtS_B",3.41020918245013e-08,"Eggerthellaceae","***"
"D_environment","GCtS_A",0.174070311622539,"Eggerthellaceae","ns"
"D_environment","GCtS_B",0.174070311622539,"Eggerthellaceae","ns"
"D_environment","EtS",0.236508243085934,"Eggerthellaceae","ns"
"GCtS_B","GCtS_A",0.00106363919534447,"Christensenellaceae","**"
"EtS","GCtS_A",0.00106363919534447,"Christensenellaceae","**"
"EtS","GCtS_B",2.5641776139394e-07,"Christensenellaceae","***"
"D_environment","GCtS_A",0.174441948270499,"Christensenellaceae","ns"
"D_environment","GCtS_B",1,"Christensenellaceae","ns"
"D_environment","EtS",0.140211291377564,"Christensenellaceae","ns"
"GCtS_B","GCtS_A",7.16655901846394e-07,"Dermabacteraceae","***"
"EtS","GCtS_A",0.000248158591478481,"Dermabacteraceae","***"
"EtS","GCtS_B",0.000147452651059199,"Dermabacteraceae","***"
"D_environment","GCtS_A",0.278997891850976,"Dermabacteraceae","ns"
"D_environment","GCtS_B",0.882884251501294,"Dermabacteraceae","ns"
"D_environment","EtS",0.402167468032729,"Dermabacteraceae","ns"
"GCtS_B","GCtS_A",4.68475518298206e-05,"Lachnospiraceae","***"
