"family","rho","p","p_adj","sig"
"Anaplasmataceae",0.309,0.0021824886242508,0.100394476715537,"ns"
"[Eubacterium]_coprostanoligenes_group",-0.007,0.943438697007395,0.9815869259311,"ns"
"Anaerovoracaceae",-0.185,0.0710718651264556,0.9815869259311,"ns"
"Arcobacteraceae",0.019,0.856335986075283,0.9815869259311,"ns"
"Beijerinckiaceae",0.101,0.329162124335257,0.9815869259311,"ns"
"Brevibacteriaceae",-0.124,0.229708037123375,0.9815869259311,"ns"
"Caulobacteraceae",-0.044,0.671976385237897,0.9815869259311,"ns"
"Christensenellaceae",-0.058,0.574280383503749,0.9815869259311,"ns"
"Clostridiaceae",0.047,0.651466689894542,0.9815869259311,"ns"
"Corynebacteriaceae",-0.026,0.80256079560603,0.9815869259311,"ns"
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__",0.023,0.826940867612326,0.9815869259311,"ns"
"Deinococcaceae",-0.003,0.977249468143093,0.9815869259311,"ns"
"Dermabacteraceae",-0.142,0.168301624593402,0.9815869259311,"ns"
"Devosiaceae",-0.023,0.820626350040367,0.9815869259311,"ns"
"Dietziaceae",-0.128,0.215097779075245,0.9815869259311,"ns"
"Eggerthellaceae",-0.075,0.466303069296641,0.9815869259311,"ns"
"F082",-0.008,0.934541024020999,0.9815869259311,"ns"
"Gemmataceae",-0.022,0.834154668259032,0.9815869259311,"ns"
"Hungateiclostridiaceae",0.061,0.553087613969217,0.9815869259311,"ns"
"Ilumatobacteraceae",-0.022,0.830021867313432,0.9815869259311,"ns"
"IMCC26256",-0.066,0.52426874152718,0.9815869259311,"ns"
"Intrasporangiaceae",-0.109,0.290627186149773,0.9815869259311,"ns"
"JG30-KF-CM45",-0.139,0.175972422419124,0.9815869259311,"ns"
"KD4-96",-0.092,0.374297707830733,0.9815869259311,"ns"
"Lachnospiraceae",0.013,0.902840744870964,0.9815869259311,"ns"
"Methyloligellaceae",-0.056,0.587423500743877,0.9815869259311,"ns"
"Microbacteriaceae",-0.035,0.736132520806263,0.9815869259311,"ns"
"Micrococcaceae",-0.112,0.277475053006003,0.9815869259311,"ns"
"Micromonosporaceae",-0.056,0.584972087547521,0.9815869259311,"ns"
"Mycobacteriaceae",-0.058,0.57181059509751,0.9815869259311,"ns"
"Nakamurellaceae",-0.032,0.756816854870662,0.9815869259311,"ns"
"Nocardiaceae",-0.052,0.615378798152333,0.9815869259311,"ns"
"Nocardioidaceae",-0.125,0.224217771217355,0.9815869259311,"ns"
"Oscillospiraceae",-0.051,0.621973892298433,0.9815869259311,"ns"
"Peptostreptococcaceae",0.005,0.96088527956658,0.9815869259311,"ns"
"Peptostreptococcales-Tissierellales",0.027,0.795794557742324,0.9815869259311,"ns"
"Pseudonocardiaceae",-0.02,0.849907715320902,0.9815869259311,"ns"
"Rhizobiaceae",-0.025,0.809980319593675,0.9815869259311,"ns"
"Rhodobacteraceae",-0.077,0.45419755125486,0.9815869259311,"ns"
"Ruminococcaceae",-0.05,0.629087774888349,0.9815869259311,"ns"
"Saccharimonadaceae",-0.069,0.502519889242305,0.9815869259311,"ns"
"Sphingomonadaceae",-0.029,0.776281618534481,0.9815869259311,"ns"
"Streptomycetaceae",-0.049,0.632515887827649,0.9815869259311,"ns"
"UCG-010",-0.032,0.755997367831749,0.9815869259311,"ns"
"uncultured",0.002,0.9815869259311,0.9815869259311,"ns"
"Xanthobacteraceae",-0.096,0.351411505642018,0.9815869259311,"ns"
