"family","W","med_young","med_old","p","p_adj","sig"
"Anaplasmataceae",797,0,0,0.00815441356587563,0.375103024030279,"ns"
"Dietziaceae",1295,0.0129,0.0085,0.0355092868226032,0.816713596919874,"ns"
"Anaerovoracaceae",1212,0.0033,0.0022,0.143483765058864,0.960256289130736,"ns"
"Brevibacteriaceae",1173,0.0014,0.0012,0.233385038505075,0.960256289130736,"ns"
"Clostridiaceae",849,0.0558,0.068,0.175024147899762,0.960256289130736,"ns"
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__",1185.5,5e-04,4e-04,0.193889665453366,0.960256289130736,"ns"
"Dermabacteraceae",1240,0.0011,0,0.0746322261377852,0.960256289130736,"ns"
"Devosiaceae",1160,0.0035,0.0032,0.291924341864107,0.960256289130736,"ns"
"Gemmataceae",881,0,1e-04,0.238466902706666,0.960256289130736,"ns"
"Intrasporangiaceae",1194,0.0121,0.0088,0.187465839186125,0.960256289130736,"ns"
"JG30-KF-CM45",1203,0.0025,0.0019,0.16468989814435,0.960256289130736,"ns"
"Peptostreptococcaceae",888,0.0036,0.0042,0.292251914083268,0.960256289130736,"ns"
"Rhodobacteraceae",1165.5,0.0181,0.0139,0.273134203705285,0.960256289130736,"ns"
"Saccharimonadaceae",1232.5,0.0099,0.0052,0.105425271899699,0.960256289130736,"ns"
"[Eubacterium]_coprostanoligenes_group",1109,0.0016,0.0015,0.50942911375948,0.996749976357939,"ns"
"Arcobacteraceae",1025,2e-04,3e-04,0.996749976357939,0.996749976357939,"ns"
"Beijerinckiaceae",945,0.005,0.0055,0.541786368977693,0.996749976357939,"ns"
"Caulobacteraceae",1117,0.0063,0.0052,0.472183237840477,0.996749976357939,"ns"
"Christensenellaceae",1139,0.0043,0.0029,0.372605679587725,0.996749976357939,"ns"
"Corynebacteriaceae",1115,0.4225,0.3694,0.481820638438342,0.996749976357939,"ns"
"Deinococcaceae",985.5,0.0716,0.0912,0.767732823524307,0.996749976357939,"ns"
"Eggerthellaceae",1104,0.002,0.0016,0.535520575965073,0.996749976357939,"ns"
"F082",994,1e-04,1e-04,0.810078006629312,0.996749976357939,"ns"
"Hungateiclostridiaceae",1025.5,0.0025,0.0026,0.993789213388612,0.996749976357939,"ns"
"Ilumatobacteraceae",1015,4e-04,4e-04,0.945755237722977,0.996749976357939,"ns"
"IMCC26256",1032,0,0,0.944040414818272,0.996749976357939,"ns"
"KD4-96",1058,0,0,0.768070851579035,0.996749976357939,"ns"
"Lachnospiraceae",1055,0.0148,0.0164,0.812611908605953,0.996749976357939,"ns"
"Methyloligellaceae",994,0,0,0.790313291785213,0.996749976357939,"ns"
"Microbacteriaceae",1046,0.0156,0.0154,0.867290824182251,0.996749976357939,"ns"
"Micrococcaceae",1136,0.0473,0.0453,0.386165629422117,0.996749976357939,"ns"
"Micromonosporaceae",1079.5,0.0019,0.0018,0.665113313512365,0.996749976357939,"ns"
"Mycobacteriaceae",982,0.0022,0.0016,0.746858756962437,0.996749976357939,"ns"
"Nakamurellaceae",1104,6e-04,2e-04,0.522375188273405,0.996749976357939,"ns"
"Nocardiaceae",1149.5,0.0034,0.0022,0.330822121066108,0.996749976357939,"ns"
"Nocardioidaceae",1134,0.0147,0.0127,0.394710794476309,0.996749976357939,"ns"
"Oscillospiraceae",1068.5,0.0058,0.0048,0.732120875794987,0.996749976357939,"ns"
"Peptostreptococcales-Tissierellales",1114.5,0.0032,0.0022,0.481600615498564,0.996749976357939,"ns"
"Pseudonocardiaceae",1037,0.0017,0.0016,0.922391651787462,0.996749976357939,"ns"
"Rhizobiaceae",1041,0.0091,0.0093,0.897952112125051,0.996749976357939,"ns"
"Ruminococcaceae",1068.5,0.0022,0.0023,0.731775379415412,0.996749976357939,"ns"
"Sphingomonadaceae",1086,0.0288,0.0227,0.632660389638961,0.996749976357939,"ns"
"Streptomycetaceae",1064,4e-04,5e-04,0.750611913880462,0.996749976357939,"ns"
"UCG-010",1002,1e-04,1e-04,0.859956390649508,0.996749976357939,"ns"
"uncultured",976,6e-04,5e-04,0.710089207080527,0.996749976357939,"ns"
"Xanthobacteraceae",1022.5,0.0025,0.0022,0.993749863512542,0.996749976357939,"ns"
