"family","icc"
"Anaplasmataceae",0.36807185527217
"Gemmataceae",0.0814569092784446
"Rhizobiaceae",0.0769009686619337
"Pseudonocardiaceae",0.0750204729469036
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__",0.0504583188451988
"JG30-KF-CM45",0.0475371896400137
"Nocardiaceae",0.0445759498245133
"Methyloligellaceae",0.0428258461372368
"Ilumatobacteraceae",0.0425443128856466
"Peptostreptococcaceae",0.0388965814491984
"IMCC26256",0.029297394601232
"Beijerinckiaceae",0.0222482817615181
"Devosiaceae",0.0155271514532034
"Sphingomonadaceae",0.0146355257634809
"F082",0.00766564275967982
"Micrococcaceae",0.00654142949472316
"Streptomycetaceae",0.00371741647660789
"RICHNESS",0.00105033344115102
"[Eubacterium]_coprostanoligenes_group",0
"Anaerovoracaceae",0
"Arcobacteraceae",0
"Brevibacteriaceae",0
"Caulobacteraceae",0
"Christensenellaceae",0
"Clostridiaceae",0
"Corynebacteriaceae",0
"Deinococcaceae",0
"Dermabacteraceae",0
"Dietziaceae",0
"Eggerthellaceae",0
"Hungateiclostridiaceae",0
"Intrasporangiaceae",0
"KD4-96",0
"Lachnospiraceae",0
"Microbacteriaceae",0
"Micromonosporaceae",0
"Mycobacteriaceae",0
"Nakamurellaceae",0
"Nocardioidaceae",0
"Oscillospiraceae",0
"Peptostreptococcales-Tissierellales",0
"Rhodobacteraceae",0
"Ruminococcaceae",0
"Saccharimonadaceae",0
"UCG-010",0
"uncultured",0
"Xanthobacteraceae",0
