"family","beta_EtS","SE","t","df","p_lmm","converged","p_adj_lmm","sig_lmm","log2FC","p_adj_wilcox","sig_wilcox","agree"
"Deinococcaceae",3.85314803466333,0.332186646998588,11.5993465404999,93.9999999989908,7.78967392720995e-20,TRUE,3.58325000651658e-18,TRUE,-4.299,3.78594898906652e-15,"***",FALSE
"Christensenellaceae",-2.3811272775357,0.44109939926298,-5.39816486151253,93.9999999973494,5.03315468154316e-07,TRUE,7.71750384503285e-06,TRUE,2.399,6.50350023760164e-07,"***",FALSE
"Micrococcaceae",0.565295627218955,0.103050994790218,5.48559117133931,83.0000002709272,4.36342370419815e-07,TRUE,7.71750384503285e-06,TRUE,-0.657,8.02098767908414e-06,"***",FALSE
"uncultured",-2.27929245152115,0.437014472772231,-5.21559946759269,93.9999999998619,1.08690496137711e-06,TRUE,1.24994070558367e-05,TRUE,2.662,8.02098767908414e-06,"***",FALSE
"Lachnospiraceae",-1.90662000084586,0.385424424795608,-4.94680637288865,93.9999999991717,3.2962945357482e-06,TRUE,3.03259097288834e-05,TRUE,1.695,5.94090156022066e-05,"***",FALSE
"Anaerovoracaceae",-2.23435415703473,0.458224942672157,-4.87610766887766,82.9999928300594,5.13975369066892e-06,TRUE,3.67474295680586e-05,TRUE,2.057,4.68004825970869e-05,"***",FALSE
"KD4-96",-2.32621500740109,0.483008972231645,-4.8160906756106,93.9999999989541,5.59200015166109e-06,TRUE,3.67474295680586e-05,TRUE,3.494,5.94090156022066e-05,"***",FALSE
"Eggerthellaceae",-1.85019329399519,0.40407449666673,-4.57884204337988,93.9999999973282,1.43108999642204e-05,TRUE,8.22876747942675e-05,TRUE,1.675,8.02098767908414e-06,"***",FALSE
"Peptostreptococcales-Tissierellales",-2.39291931695221,0.523302870722039,-4.57272346633706,82.9999989422069,1.66484285234695e-05,TRUE,8.5091968008844e-05,TRUE,2.382,2.24146126982992e-05,"***",FALSE
"Hungateiclostridiaceae",-1.90308110601039,0.424636591650752,-4.48167007608144,93.9999999979201,2.08689452797554e-05,TRUE,9.59971482868746e-05,TRUE,1.961,3.59134422422969e-07,"***",FALSE
"Oscillospiraceae",-2.12610361738751,0.482466017489512,-4.40674273485745,94.0000000003697,2.78267738790684e-05,TRUE,0.000116366508948832,TRUE,2.287,0.00038721076932402,"***",FALSE
"[Eubacterium]_coprostanoligenes_group",-1.90497894153208,0.450252397958403,-4.23091348357032,93.9999999975422,5.40614698955399e-05,TRUE,0.00020723563459957,TRUE,2.244,6.80585696611521e-05,"***",FALSE
"Rhodobacteraceae",-1.21423910119806,0.302657992175302,-4.01191818022357,93.999999998032,0.000120859182495762,TRUE,0.000397108742486076,TRUE,0.822,0.00268899121202568,"**",FALSE
"Saccharimonadaceae",-1.97743151187564,0.492633292945131,-4.0140029920712,93.9999999986463,0.000119951766657133,TRUE,0.000397108742486076,TRUE,1.678,0.00010170365420588,"***",FALSE
"Ruminococcaceae",-1.68548491680539,0.455419307382788,-3.70095182501498,93.9999999960501,0.000361860445752966,TRUE,0.00110970536697576,TRUE,1.609,0.00268899121202568,"**",FALSE
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__",-1.61588515036094,0.457721958573458,-3.53027666707759,83.0000000374642,0.000680232495753086,TRUE,0.00184062910615541,TRUE,NA,NA,NA,NA
"UCG-010",-1.76436151415571,0.501546664309882,-3.51784118948021,93.9999999980997,0.000672167511348689,TRUE,0.00184062910615541,TRUE,3.7,0.00268899121202568,"**",FALSE
"Nocardioidaceae",-1.2761629590741,0.368953710041322,-3.4588701084783,93.9999999994436,0.000816960486466882,TRUE,0.00208778790985981,TRUE,0.915,0.00020392582083464,"***",FALSE
"Devosiaceae",-1.39519472297784,0.410076801164057,-3.40227664431979,83.0000040272697,0.00103051636491107,TRUE,0.00249493435715312,TRUE,1.585,0.00028910456812001,"***",FALSE
"Clostridiaceae",-0.808739642190356,0.243475119526033,-3.32165210048859,93.9999999984023,0.00127553053718983,TRUE,0.00293372023553661,TRUE,0.367,0.10029959775871,"ns",FALSE
"Intrasporangiaceae",-1.52890253325181,0.463678064341961,-3.29733634352876,94.0000000012998,0.001378599347428,TRUE,0.00301978904674705,TRUE,1.565,5.94090156022066e-05,"***",FALSE
"Corynebacteriaceae",-0.817360219118216,0.255914384357767,-3.19388150521289,93.9999999992526,0.001910611488313,TRUE,0.00399491493010901,TRUE,0.472,0.0086314682146873,"**",FALSE
"Arcobacteraceae",-1.68353373009892,0.532788766254421,-3.15985215291681,93.9999999990313,0.00212389266544489,TRUE,0.00424778533088978,TRUE,1.962,0.00383053086415609,"**",FALSE
"Caulobacteraceae",-0.844411047800418,0.305935567806932,-2.76009440109724,93.9999999978459,0.00694731313751489,TRUE,0.0133156835135702,TRUE,0.724,0.018376571732638,"*",FALSE
"Methyloligellaceae",-1.27499480416527,0.498088079130812,-2.55977779349828,83.0000000925402,0.0122865897364643,TRUE,0.0226073251150943,TRUE,2.249,0.0330193321391514,"*",FALSE
"IMCC26256",-1.14848503402438,0.465678415755155,-2.46626211387094,82.9999998860021,0.0157116798817643,TRUE,0.0277975874831215,TRUE,3.176,0.0638939824362174,".",FALSE
"Beijerinckiaceae",-0.609940393132822,0.294962890770179,-2.06785467670256,82.9999986337686,0.0417679550495251,TRUE,0.0711602197140058,FALSE,0.646,0.350653010295749,"ns",FALSE
"JG30-KF-CM45",-0.881391060219771,0.433853154139105,-2.03154235900097,82.9999999882775,0.0453994152815072,TRUE,0.0745847536767619,FALSE,0.636,0.0860110879132104,".",FALSE
"F082",-1.00502641164506,0.500393274004633,-2.00847306280091,83.000000535546,0.047844592696814,TRUE,0.0758914228983947,FALSE,1.911,0.0877231623735453,".",FALSE
"Microbacteriaceae",-0.493888814237653,0.253714289039339,-1.94663381438905,93.9999999988126,0.0545642298601404,TRUE,0.0836651524522152,FALSE,0.437,0.295027072707969,"ns",FALSE
"Peptostreptococcaceae",-0.634325273060306,0.339728313953088,-1.86715456736378,82.9999999698129,0.0654103414809885,TRUE,0.0970605067137248,FALSE,0.124,0.433834519746616,"ns",FALSE
"Gemmataceae",-0.749408247624781,0.426790110033415,-1.75591755761657,82.9999985479913,0.082791489312249,TRUE,0.119012765886358,FALSE,1.462,0.174905475047224,"ns",FALSE
"Sphingomonadaceae",-0.387400070944583,0.228187026676189,-1.69773048269885,82.9999999761604,0.0933052219870535,TRUE,0.130061824588014,FALSE,0.15,0.433834519746616,"ns",FALSE
"Dietziaceae",-0.658159803693334,0.401691483574415,-1.63847089272782,93.9999999984977,0.104666593460524,TRUE,0.14160774409365,FALSE,1.182,0.00463579657055603,"**",FALSE
"Brevibacteriaceae",-0.985141144563374,0.637636362232684,-1.54498896693078,93.9999999993167,0.125709047434604,TRUE,0.165217605199765,FALSE,3.216,0.206637235156734,"ns",FALSE
"Rhizobiaceae",-0.545383707550683,0.360472215138087,-1.51297016703981,83.0000000164034,0.134085828200239,TRUE,0.171331891589194,FALSE,0.596,0.121508287083287,"ns",FALSE
"Ilumatobacteraceae",-0.673948638752707,0.525773678685605,-1.28182270447149,83.0000000614303,0.203473955004632,TRUE,0.252967619735488,FALSE,1.527,0.278197935073201,"ns",FALSE
"Micromonosporaceae",0.658563902253858,0.534970218459321,1.23102909195671,93.9999999991332,0.221383248700087,TRUE,0.267990248426421,FALSE,-0.302,0.201875838278752,"ns",FALSE
"Nakamurellaceae",-0.456738007157242,0.521026815620852,-0.876611324914239,93.999999998238,0.382932562768335,TRUE,0.451664048393421,FALSE,1.17,0.331205792556738,"ns",FALSE
"Mycobacteriaceae",0.364077379989202,0.434925501814292,0.837102856628211,93.9999999963363,0.404657960946914,TRUE,0.465356655088951,FALSE,0.444,0.754921248395571,"ns",FALSE
"Xanthobacteraceae",-0.46842038314837,0.595041825077863,-0.787205812107537,93.9999999982034,0.433141754925212,TRUE,0.485963920159994,FALSE,1.825,0.197918213054624,"ns",FALSE
"Anaplasmataceae",-0.275878137627393,0.36417572326371,-0.757541263747618,83.0000000017156,0.450871023908908,TRUE,0.493811121424043,FALSE,-0.681,0.538069109156876,"ns",FALSE
"Pseudonocardiaceae",0.275866404879083,0.532560006101031,0.518000604098591,82.9999999491782,0.605835898330706,TRUE,0.648103519144477,FALSE,0.547,0.477167805759587,"ns",FALSE
