"pathway","description","log2FC","p_adj","sig","direction"
"PWY-7374","1,4-dihydroxy-6-naphthoate biosynthesis I",3.22846500659097,1.0078483806163e-06,"***","EtS_higher"
"PWY0-1479","tRNA processing",1.91371309853493,1.37615384318033e-09,"***","EtS_higher"
"PWY-5030","L-histidine degradation III",1.46323973826517,0.0319136701045397,"*","EtS_higher"
"PWY-5855","ubiquinol-7 biosynthesis (prokaryotic)",1.09264165495293,0.0315179047056369,"*","EtS_higher"
"PWY-8187",NA,1.03185857242916,0.0315179047056369,"*","EtS_higher"
"PWY-4984","urea cycle",1.03097045099919,0.0200996195420713,"*","EtS_higher"
"PWY-5497","purine nucleobases degradation II (anaerobic)",0.977476600295389,0.00524786640902825,"**","EtS_higher"
"PWY-4702","phytate degradation I",0.659017663752654,0.0203616110542764,"*","EtS_higher"
"PWY-6922","L-N&delta;-acetylornithine biosynthesis",0.528812280002385,0.0312611618695166,"*","EtS_higher"
"PWY-821","superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)",-0.530827631655706,0.0307426133145959,"*","GCtS_higher"
"OANTIGEN-PWY","O-antigen building blocks biosynthesis (E. coli)",-0.540682237467364,0.0345324652154369,"*","GCtS_higher"
"PWY-7111","pyruvate fermentation to isobutanol (engineered)",-0.565401846948542,0.0278123302843738,"*","GCtS_higher"
"POLYAMINSYN3-PWY","superpathway of polyamine biosynthesis II",-0.569737316807368,0.0259851248237748,"*","GCtS_higher"
"PWY4FS-7","phosphatidylglycerol biosynthesis I (plastidic)",-0.581522210780423,0.0323149079465747,"*","GCtS_higher"
"PWY4FS-8","phosphatidylglycerol biosynthesis II (non-plastidic)",-0.581522210780423,0.0323149079465747,"*","GCtS_higher"
"PWY-8004",NA,-0.588445267651429,0.0467356262107565,"*","GCtS_higher"
"GLYCOLYSIS-E-D","superpathway of glycolysis and Entner-Doudoroff",-0.610862629835298,0.0289968672091349,"*","GCtS_higher"
"PWY0-1297","superpathway of purine deoxyribonucleosides degradation",-0.617813419677546,0.0298577274093119,"*","GCtS_higher"
"PWY-5345","superpathway of L-methionine biosynthesis (by sulfhydrylation)",-0.650664089696264,0.008625215598659,"**","GCtS_higher"
"GLUDEG-I-PWY","GABA shunt",-0.663366751355322,0.0189695185636735,"*","GCtS_higher"
"METHYLGALLATE-DEGRADATION-PWY","methylgallate degradation",-0.674590821364291,0.0315438006100715,"*","GCtS_higher"
"PWY-7400","L-arginine biosynthesis IV (archaebacteria)",-0.693950482696362,0.00494857268241967,"**","GCtS_higher"
"P184-PWY","protocatechuate degradation I (meta-cleavage pathway)",-0.699240976420766,0.0274869636175673,"*","GCtS_higher"
"PWY0-1061","superpathway of L-alanine biosynthesis",-0.700483073032278,0.0426654072134676,"*","GCtS_higher"
"PWY-5505","L-glutamate and L-glutamine biosynthesis",-0.704635829087605,0.021288166226224,"*","GCtS_higher"
"PWY66-399","gluconeogenesis III",-0.709245242273705,0.0183652600474233,"*","GCtS_higher"
"GALLATE-DEGRADATION-II-PWY","gallate degradation I",-0.713304246803959,0.0330225907959693,"*","GCtS_higher"
"PWY-2941","L-lysine biosynthesis II",-0.720961971846811,0.0298577274093119,"*","GCtS_higher"
"PWY0-1277","3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation",-0.721231188924676,0.0165033810831088,"*","GCtS_higher"
"PWY-7902",NA,-0.723168536435556,0.0169378333820822,"*","GCtS_higher"
"PWY-6901","superpathway of glucose and xylose degradation",-0.72593214246303,0.00885708305436277,"**","GCtS_higher"
"HCAMHPDEG-PWY","3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate",-0.729837156098827,0.0303343196369959,"*","GCtS_higher"
"PWY-6690","cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate",-0.729837156098827,0.0303343196369959,"*","GCtS_higher"
"PWY-7873",NA,-0.730621258095447,0.0236253049586094,"*","GCtS_higher"
"PWY-6353","purine nucleotides degradation II (aerobic)",-0.732638357507054,0.00707249984727612,"**","GCtS_higher"
"SULFATE-CYS-PWY","superpathway of sulfate assimilation and cysteine biosynthesis",-0.735299223008495,0.00357308266656918,"**","GCtS_higher"
"PWY-6421","arsenate detoxification III (mycothiol)",-0.735333708997539,0.0408172856573161,"*","GCtS_higher"
"PWY-6292","superpathway of L-cysteine biosynthesis (mammalian)",-0.736415371725993,0.00707249984727612,"**","GCtS_higher"
"DENOVOPURINE2-PWY","superpathway of purine nucleotides de novo biosynthesis II",-0.738967783886031,0.00702510604120035,"**","GCtS_higher"
"PWY-7383","anaerobic energy metabolism (invertebrates, cytosol)",-0.740599152584649,0.0236253049586094,"*","GCtS_higher"
