"family","A_ground_contact","B_near_ground","C_elevated","MeanDecreaseAccuracy","MeanDecreaseGini","source"
"Deinococcaceae",0.128104184704185,0.0479568671524554,0.172665692905493,0.128610903639192,9.62061060430068,"env-shared"
"Intrasporangiaceae",0.113353951603952,0.00868265623265623,0.0497553285496455,0.0541648324446403,5.8643565836725,"animal-only"
"Dietziaceae",0.0553725357975358,0.0123666888666889,0.0183971683065218,0.025872926906364,3.00491736230172,"animal-only"
"Brevibacteriaceae",0.037025111000111,0.0152762598512598,0.00549362820552415,0.0156617707815686,2.18985845646927,"animal-only"
"Dermabacteraceae",0.0366939227439227,0.026975949050949,0.00560662773179767,0.0180209738110971,2.11950349009662,"animal-only"
"Hungateiclostridiaceae",0.020104686979687,0.00888782230841054,0.0410391470401616,0.0274551079904262,2.85762107710215,"animal-only"
"UCG-010",0.0132805999555999,0.0436293650793651,0.0255713706865292,0.026359265704627,2.8374225947769,"animal-only"
"Peptostreptococcales-Tissierellales",0.0126664973914974,0.000112304362304362,0.012834398168537,0.00934215651187083,1.4685425085388,"animal-only"
"Nocardiaceae",0.011658103008103,0.00126211011211011,0.00154102044326503,0.00380283260250908,0.505936772379282,"animal-only"
"Sphingomonadaceae",0.00957173937173937,0.00034520202020202,0.000382836679555619,0.00244642185248821,0.507453001457152,"env-shared"
"Saccharimonadaceae",0.00921564685314685,0.00165055222555223,0.0140898873585322,0.00984553862784104,1.34432003653861,"animal-only"
"Ruminococcaceae",0.0091556055056055,0.0175741036741037,0.00259420719291328,0.00776133634712473,1.34241946239087,"env-shared"
"Saccharimonadales",0.00793275613275613,-0.00061112596553773,0.0031397389502333,0.00337321657000999,0.727187511460713,"animal-only"
"Beijerinckiaceae",0.00789654789654789,0.00318212065712066,0.00164260276019429,0.00337881750513377,0.608452021324869,"env-shared"
"uncultured",0.00674759684759684,0.0222823953823954,0.0157310072669885,0.0150467575731163,1.8962699439684,"env-shared"
"Xanthobacteraceae",0.00609676434676435,0.00065500333000333,0.00428990342303036,0.00378862768051365,0.55311012482922,"animal-only"
"Anaerovoracaceae",0.00579075091575092,0.00857748917748917,0.0108570216531349,0.00911314867138077,1.11532827414083,"animal-only"
"Devosiaceae",0.0043458374958375,0.000386088911088911,0.0124196602339121,0.00732244812493968,1.01390130438219,"env-shared"
"Ilumatobacteraceae",0.00428482350982351,-0.000171464646464646,0.000383530474737569,0.0012329986370553,0.288036828098988,"animal-only"
"Lachnospiraceae",0.00386542624042624,0.0272379897879898,0.00881455847759724,0.0119347655592702,1.79874812482577,"env-shared"
"KD4-96",0.00362066267066267,-0.00051512654012654,0.00348627699568943,0.00256312391761444,0.476225312101441,"animal-only"
"Oscillospiraceae",0.0034796953046953,0.0281753996003996,0.00882595939391369,0.0123558197506701,1.76962042916722,"env-shared"
"Rhodobacteraceae",0.00330793650793651,-0.000154040404040404,0.00380161232367788,0.00263019737212316,0.482505057705916,"env-shared"
"Clostridiaceae",0.00318297258297258,0.00573023920523921,0.00173737925753372,0.00299899905222429,0.561605827549229,"env-shared"
"Corynebacteriaceae",0.00289020701520702,0.00262049062049062,0.00467436697891032,0.0036707789463211,0.82892605594213,"env-shared"
"Christensenellaceae",0.00285571095571096,0.0266775613275613,0.0190829761119588,0.0165613887912881,2.21474934581793,"env-shared"
"Pseudonocardiaceae",0.00285542235542235,0.00443541458541459,0.00128884019168041,0.00220997828838149,0.628505476390657,"animal-only"
"Methyloligellaceae",0.0028508658008658,-0.000463272838272838,0.00120333277123558,0.00121921742809426,0.323957204688819,"animal-only"
"IMCC26256",0.00273860028860029,-0.000387637362637363,0.00198117021437455,0.0015705207720074,0.279215484185857,"animal-only"
"Arcobacteraceae",0.00270310245310245,0.00461608946608947,0.00337946380394556,0.00344115913419307,0.678496871311104,"animal-only"
"Microbacteriaceae",0.00226536519036519,-0.000943845043845044,0.000878316649399568,0.00103625871443533,0.483457582156045,"animal-only"
"[Eubacterium]_coprostanoligenes_group",0.00184409479409479,0.0101733516483516,0.0050128024822129,0.00545827026889907,0.929711071547995,"env-shared"
"Caulobacteraceae",0.00183704628704629,0.000164912864912865,0.00132595492014155,0.00120797521103616,0.318783482972689,"env-shared"
"JG30-KF-CM45",0.00182639305139305,0.00125167332667333,0.00162308045262346,0.00151848664986116,0.434806412969386,"animal-only"
"Streptomycetaceae",0.00176963036963037,0.00120840548340548,0.000986679900766588,0.00124077605235605,0.369667760037322,"animal-only"
"Gemmataceae",0.00176792929292929,0.00026547619047619,0.000556766129878258,0.000748800745223646,0.202434678633868,"animal-only"
"Peptostreptococcaceae",0.00146110001110001,0.000424120324120324,0.00128817795981109,0.000984134280641885,0.458313597885916,"animal-only"
"Eggerthellaceae",0.00144940892440892,0.0397707597957598,0.0243567411431616,0.0222196311921387,2.66297787625634,"animal-only"
"Nakamurellaceae",0.00143260073260073,0.000194108669108669,0.000896363457663767,0.000830294662141322,0.168957076589207,"animal-only"
"Nocardioidaceae",0.00141655566655567,2.05044955044956e-05,0.00339757595906135,0.00211571038368438,0.445393060822603,"animal-only"
"Mycobacteriaceae",0.00129439449439449,-0.00101107503607504,0.000995533964920827,0.000531717041590958,0.330197581369697,"env-shared"
"F082",0.00116836219336219,0.00235471195471195,0.00217926518468146,0.00202498327750343,0.458333598805668,"animal-only"
"Rhizobiaceae",0.00113160173160173,0.00193870377988025,0.000315918863558182,0.000896834282262657,0.370996764757351,"animal-only"
"Micromonosporaceae",2.17893217893219e-05,0.000771125116713352,0.00176939115497804,0.00109767291579935,0.228938460280619,"animal-only"
"Anaplasmataceae",-0.000519408369408369,-0.000399145299145299,-0.000114285714285714,-0.000257548605288418,0.0876620581392061,"animal-only"
"Micrococcaceae",-0.00260295399045399,0.0183113414363414,0.0186464391618611,0.0129160171312159,1.59425328886024,"env-shared"
