"family","MDA","source"
"Deinococcaceae",27.5868243242838,"env-shared"
"Intrasporangiaceae",14.5807405542094,"animal-only"
"Hungateiclostridiaceae",14.2316454738466,"animal-only"
"Christensenellaceae",11.6045992071096,"env-shared"
"uncultured",11.4233421684583,"env-shared"
"Eggerthellaceae",10.7553170876441,"animal-only"
"UCG-010",10.7108062110222,"animal-only"
"Micrococcaceae",10.5386316258121,"env-shared"
"Peptostreptococcales-Tissierellales",10.1254464723659,"animal-only"
"Dietziaceae",10.0285557007967,"animal-only"
"Saccharimonadaceae",9.96614678296796,"animal-only"
"Devosiaceae",9.18794009132513,"env-shared"
"Lachnospiraceae",8.23651201151416,"env-shared"
"Brevibacteriaceae",7.672301512343,"animal-only"
"Dermabacteraceae",6.90981915494386,"animal-only"
"Anaerovoracaceae",6.42433572448525,"animal-only"
"Corynebacteriaceae",6.2680638575045,"env-shared"
"[Eubacterium]_coprostanoligenes_group",6.01360225945424,"env-shared"
"Nocardioidaceae",5.76510106192357,"animal-only"
"Oscillospiraceae",5.71136578115145,"env-shared"
"KD4-96",5.51569749536167,"animal-only"
"Xanthobacteraceae",4.7917316405813,"animal-only"
"Saccharimonadales",4.60729858626112,"animal-only"
"Nocardiaceae",4.46604025661562,"animal-only"
"Pseudonocardiaceae",4.39884645379909,"animal-only"
"Micromonosporaceae",3.98363565030897,"animal-only"
"Arcobacteraceae",3.96123482864723,"animal-only"
"Peptostreptococcaceae",3.8242102443572,"animal-only"
"Mycobacteriaceae",3.80890775852175,"env-shared"
"Clostridiaceae",3.80169317480796,"env-shared"
"Ruminococcaceae",3.60753623126063,"env-shared"
"Beijerinckiaceae",3.44901313303464,"env-shared"
"Rhodobacteraceae",3.28828881895495,"env-shared"
"Streptomycetaceae",3.16220844068897,"animal-only"
"Caulobacteraceae",2.96759307896209,"env-shared"
"Nakamurellaceae",2.61498557717306,"animal-only"
"Methyloligellaceae",2.3060958221303,"animal-only"
"F082",2.23231015732661,"animal-only"
"Microbacteriaceae",2.05658303513896,"animal-only"
"Sphingomonadaceae",2.05299537822611,"env-shared"
"IMCC26256",2.03648197474663,"animal-only"
"Rhizobiaceae",1.87627040603619,"animal-only"
"Gemmataceae",1.87020516259636,"animal-only"
"Ilumatobacteraceae",1.78505292319133,"animal-only"
"JG30-KF-CM45",1.51705739754505,"animal-only"
"Anaplasmataceae",-1.07861176956887,"animal-only"
