family,rf_context,genus,n_ASVs,pct_ASVs,total_reads,pct_reads
Deinococcaceae,"RF rank 1 (C_elevated enriched, env-shared)",Deinococcus,69,100.0,967679,100.0
Intrasporangiaceae,"RF rank 2 (AB_lower_contact enriched, animal-only)",(unclassified_genus),38,63.3,18012,51.1
Intrasporangiaceae,"RF rank 2 (AB_lower_contact enriched, animal-only)",Ornithinicoccus,7,11.7,426,1.2
Intrasporangiaceae,"RF rank 2 (AB_lower_contact enriched, animal-only)",Ornithinimicrobium,10,16.7,16622,47.2
Intrasporangiaceae,"RF rank 2 (AB_lower_contact enriched, animal-only)",Phycicoccus,2,3.3,60,0.2
Intrasporangiaceae,"RF rank 2 (AB_lower_contact enriched, animal-only)",Terrabacter,2,3.3,99,0.3
Intrasporangiaceae,"RF rank 2 (AB_lower_contact enriched, animal-only)",Tetrasphaera,1,1.7,14,0.0
Hungateiclostridiaceae,"RF rank 3 (AB_lower_contact enriched, animal-only)",(unclassified_genus),24,15.4,332,2.8
Hungateiclostridiaceae,"RF rank 3 (AB_lower_contact enriched, animal-only)",Acetivibrio,3,1.9,182,1.6
Hungateiclostridiaceae,"RF rank 3 (AB_lower_contact enriched, animal-only)",Anaerobacterium,1,0.6,8,0.1
Hungateiclostridiaceae,"RF rank 3 (AB_lower_contact enriched, animal-only)",Ercella,2,1.3,146,1.2
Hungateiclostridiaceae,"RF rank 3 (AB_lower_contact enriched, animal-only)",Fastidiosipila,26,16.7,6619,56.6
Hungateiclostridiaceae,"RF rank 3 (AB_lower_contact enriched, animal-only)",HN-HF0106,4,2.6,44,0.4
Hungateiclostridiaceae,"RF rank 3 (AB_lower_contact enriched, animal-only)",Hungateiclostridiaceae,4,2.6,178,1.5
Hungateiclostridiaceae,"RF rank 3 (AB_lower_contact enriched, animal-only)",Hungateiclostridium,3,1.9,109,0.9
Hungateiclostridiaceae,"RF rank 3 (AB_lower_contact enriched, animal-only)",Pseudobacteroides,2,1.3,8,0.1
Hungateiclostridiaceae,"RF rank 3 (AB_lower_contact enriched, animal-only)",Ruminiclostridium,25,16.0,971,8.3
Hungateiclostridiaceae,"RF rank 3 (AB_lower_contact enriched, animal-only)",Saccharofermentans,41,26.3,2531,21.7
Hungateiclostridiaceae,"RF rank 3 (AB_lower_contact enriched, animal-only)",Thermoclostridium,6,3.8,32,0.3
Hungateiclostridiaceae,"RF rank 3 (AB_lower_contact enriched, animal-only)",UCG-012,3,1.9,131,1.1
Hungateiclostridiaceae,"RF rank 3 (AB_lower_contact enriched, animal-only)",uncultured,12,7.7,397,3.4
